"exp","exp href","exp 2","wd51","wd51 2","wd51 3","wd51 4","wd55","wd22 2","wd22 3","wd22 4","wd22 6","wd22 7","inputimg","inputimg 2","sf","sf href","sf 2","inputimg 3","inputimg 4"
"16318","https://etrain.info/train/Himsagar-Exp-16318/schedule","HIMSAGAR EXP","SVDK","CAPE","02:10","02:20","00:10H","X","X","X","X","X","2A","3A","","","","3E","SL"
"16032","https://etrain.info/train/Andaman-Express-16032/schedule","ANDAMAN EXPRESS","SVDK","MAS","02:10","02:20","00:10H","Y","Y","X","X","X","2A","3A","","","","SL",""
"","","","NZM","VSG","02:35","02:45","00:10H","Y","Y","Y","Y","Y","1A","2A","12780","https://etrain.info/train/Goa-Express-12780/schedule","GOA EXPRESS","3A","3E"
"","","","LJN","PUNE","02:55","03:05","00:10H","X","X","X","X","X","2A","3A","12104","https://etrain.info/train/Ljn-Pune-Exp-12104/schedule","LJN PUNE EXP","SL",""
"16094","https://etrain.info/train/Ljn-Mas-Exp-16094/schedule","LJN  MAS EXP","LJN","MAS","02:55","03:05","00:10H","Y","X","X","X","X","2A","3A","","","","SL",""
"15023","https://etrain.info/train/Gkp-Ypr-Exp-15023/schedule","GKP YPR EXP","GKP","YPR","02:55","03:05","00:10H","X","X","X","X","X","1A","2A","","","","3A","SL"
"14314","https://etrain.info/train/Be-Ltt-Express-14314/schedule","BE LTT EXPRESS","BE","LTT","02:55","03:05","00:10H","X","X","X","X","X","2A","3A","","","","SL",""
"04718","https://etrain.info/train/Tpty-Hsr-Spl-04718/schedule","TPTY HSR SPL","TPTY","HSR","03:15","03:25","00:10H","X","X","X","X","X","2A","3A","","","","SL",""
"","","","TVC","NDLS","03:45","03:55","00:10H","Y","Y","Y","Y","Y","2A","3A","12625","https://etrain.info/train/Kerala-Express-12625/schedule","KERALA EXPRESS","3E","SL"
"","","","NZM","SBC","03:45","03:55","00:10H","Y","Y","Y","Y","Y","1A","2A","","","","3A",""
"","","","NDLS","VSKP","04:35","04:45","00:10H","Y","Y","Y","Y","Y","1A","2A","20806","https://etrain.info/train/Ndls-Vskp-Ap-Exp-20806/schedule","NDLS VSKP AP EXP","3A","SL"
"","","","LTT","SLN","05:15","05:25","00:10H","X","X","X","X","X","2A","3A","12143","https://etrain.info/train/Ltt-Sln-Sup-Exp-12143/schedule","LTT SLN SUP EXP","SL",""
"","","","LTT","STP","05:35","05:45","00:10H","Y","Y","X","X","X","2A","3A","12107","https://etrain.info/train/Ltt-Sitapur-Exp-12107/schedule","LTT SITAPUR EXP","SL",""
"","","","LTT","MBDP","05:35","05:45","00:10H","Y","X","X","X","X","2A","3A","12173","https://etrain.info/train/Udyog-Nagri-Exp-12173/schedule","UDYOG NAGRI EXP","SL",""
"","","","AYC","LTT","05:55","06:05","00:10H","Y","X","X","X","X","2A","3A","22130","https://etrain.info/train/Tulsi-Express-22130/schedule","TULSI EXPRESS","SL",""
"","","","JP","HYB","06:10","06:20","00:10H","Y","X","X","X","X","2A","3A","12719","https://etrain.info/train/Jp-Hyb-Sf-Exp-12719/schedule","JP HYB SF EXP","SL",""
"07019","https://etrain.info/train/Jp-Hyb-Spl-07019/schedule","JP HYB SPL","JP","HYB","06:10","06:20","00:10H","X","X","X","X","X","2A","3A","","","","SL",""
"17019","https://etrain.info/train/Hsr-Hyb-Express-17019/schedule","HSR HYB EXPRESS","HSR","HYB","06:10","06:20","00:10H","X","X","X","X","X","1A","2A","","","","3A","SL"
"","","","MYS","NZM","06:25","06:35","00:10H","X","X","X","X","X","1A","2A","12781","https://etrain.info/train/Swarna-Jayanthi-12781/schedule","SWARNA JAYANTHI","3A","SL"
"14621","https://etrain.info/train/Ned-Fzr-Express-14621/schedule","NED FZR EXPRESS","NED","FZR","06:25","06:35","00:10H","X","X","X","X","X","2A","3A","","","","3E","SL"
"","","","KOP","NZM","06:25","06:35","00:10H","X","X","X","X","X","2A","3A","12147","https://etrain.info/train/Nizamuddin-Exp-12147/schedule","NIZAMUDDIN EXP","SL",""
"","","","LJN","CSMT","07:00","07:10","00:10H","Y","Y","Y","Y","Y","1A","2A","12533","https://etrain.info/train/Pushpak-Express-12533/schedule","PUSHPAK EXPRESS","3E","SL"
"","","","JU","PURI","07:10","07:20","00:10H","X","X","X","X","X","1A","2A","20814","https://etrain.info/train/Ju-Puri-Express-20814/schedule","JU PURI EXPRESS","3A","SL"
"","","","JP","MAS","07:10","07:20","00:10H","Y","X","X","X","X","1A","2A","12968","https://etrain.info/train/Jp-Chennai-Exp-12968/schedule","JP CHENNAI EXP","3A","3E"
"","","","JP","CBE","07:10","07:20","00:10H","X","X","X","X","X","1A","2A","12970","https://etrain.info/train/Jp-Cbe-Sup-Exp-12970/schedule","JP CBE SUP EXP","3A","3E"
"","","","BL","PURI","07:10","07:20","00:10H","X","X","X","X","X","2A","3A","22909","https://etrain.info/train/Bl-Puri-Sf-Exp-22909/schedule","BL PURI SF EXP","SL",""
"","","","HW","LTT","07:40","07:50","00:10H","Y","X","X","X","X","1A","2A","12172","https://etrain.info/train/Hw-Ltt-Ac-Sf-12172/schedule","HW LTT AC SF","3A",""
"","","","KLK","SNSI","07:40","07:50","00:10H","Y","X","X","X","X","2A","3A","22456","https://etrain.info/train/Klk-Snsi-Sf-Exp-22456/schedule","KLK SNSI SF EXP","SL",""
"","","","NZM","NED","07:40","07:50","00:10H","X","X","X","X","X","2A","3A","12754","https://etrain.info/train/Marathwada-S-K-12754/schedule","MARATHWADA S K","SL",""
"19344","https://etrain.info/train/Panchvalley-Exp-19344/schedule","PANCHVALLEY EXP","NIR","INDB","07:50","08:00","00:10H","Y","Y","Y","Y","Y","3A","SL","","","","",""
"14622","https://etrain.info/train/Fzr-Ned-Exp-14622/schedule","FZR NED EXP","FZR","NED","08:05","08:15","00:10H","X","X","X","X","X","2A","3A","","","","3E","SL"
"","","","STP","LTT","08:05","08:15","00:10H","Y","Y","X","X","X","2A","3A","12108","https://etrain.info/train/Stp-Ltt-Sf-Exp-12108/schedule","STP LTT SF EXP","SL",""
"","","","TPTY","NZM","08:15","08:25","00:10H","Y","Y","X","X","X","1A","2A","12707","https://etrain.info/train/A-P-Smprk-Krnti-12707/schedule","A P SMPRK KRNTI","3A","SL"
"","","","CAPE","NZM","08:15","08:25","00:10H","Y","X","X","X","X","2A","3A","12641","https://etrain.info/train/Tirukkural-Exp-12641/schedule","TIRUKKURAL EXP","SL",""
"","","","MDU","NZM","08:15","08:25","00:10H","Y","X","X","X","X","2A","3A","12651","https://etrain.info/train/Sampark-Kranti-12651/schedule","SAMPARK KRANTI","SL",""
"","","","BSP","BKN","08:25","08:35","00:10H","Y","X","X","X","X","1A","2A","20845","https://etrain.info/train/Bsp-Bkn-Sf-Exp-20845/schedule","BSP BKN SF EXP","3A","3E"
"","","","BSP","BGKT","08:25","08:35","00:10H","Y","X","X","X","X","1A","2A","20843","https://etrain.info/train/Bsp-Bgkt-Sf-Exp-20843/schedule","BSP BGKT SF EXP","3A","3E"
"","","","NDLS","PDY","08:25","08:35","00:10H","X","X","X","X","X","1A","2A","22404","https://etrain.info/train/Ndls-Pdy-Exp-22404/schedule","NDLS PDY EXP","3A","SL"
"","","","AADR","NED","08:25","08:35","00:10H","X","X","X","X","X","1A","2A","22710","https://etrain.info/train/Aadr-Ned-Sf-Exp-22710/schedule","AADR NED SF EXP","3A","SL"
"","","","ASR","NED","08:25","08:35","00:10H","X","X","X","X","X","2A","3A","12422","https://etrain.info/train/Asr-Ned-Sf-Exp-12422/schedule","ASR NED SF EXP","SL",""
"","","","SGNR","NED","08:25","08:35","00:10H","X","X","X","X","X","2A","3A","12440","https://etrain.info/train/Sgnr-Ned-Exp-12440/schedule","SGNR NED EXP","SL",""
"","","","SGNR","NED","08:25","08:35","00:10H","Y","X","X","X","X","2A","3A","12486","https://etrain.info/train/Sgnr-Ned-Express-12486/schedule","SGNR NED EXPRESS","3E","SL"
"","","","BKN","MDU","08:50","09:00","00:10H","X","X","X","X","X","1A","2A","22632","https://etrain.info/train/Anuvrat-Exp-22632/schedule","ANUVRAT EXP","3A",""
"","","","BDTS","JBP","09:00","09:10","00:10H","X","X","X","X","X","1A","2A","02133","https://etrain.info/train/Bdts-Jbp-Sf-Spl-02133/schedule","BDTS JBP SF SPL","3A","SL"
"04717","https://etrain.info/train/Hsr-Tpty-Sf-Spl-04717/schedule","HSR TPTY SF SPL","HSR","TPTY","09:00","09:10","00:10H","X","X","X","X","X","2A","3A","","","","SL",""
"","","","FZR","RMM","09:20","09:30","00:10H","X","X","X","X","X","3A","SL","20498","https://etrain.info/train/Fzr-Rmm-Humsafar-20498/schedule","FZR RMM HUMSAFAR","",""
"","","","JP","NGP","09:25","09:35","00:10H","X","X","X","X","X","2A","3A","22176","https://etrain.info/train/Jaipur-Ngp-Sf-Exp-22176/schedule","JAIPUR NGP SF EXP","SL",""
"","","","RMM","FZR","09:25","09:35","00:10H","X","X","X","X","X","3A","SL","20497","https://etrain.info/train/Fzr-Humsafar-20497/schedule","FZR HUMSAFAR","",""
"16093","https://etrain.info/train/Lucknow-Exp-16093/schedule","LUCKNOW EXP","MAS","LJN","09:30","09:40","00:10H","Y","X","X","X","X","2A","3A","","","","SL",""
"","","","MDU","CDG","09:30","09:40","00:10H","Y","X","X","X","X","2A","3A","20493","https://etrain.info/train/Mdu-Cdg-Exp-20493/schedule","MDU CDG EXP","3E","SL"
"","","","GKP","LTT","09:50","10:00","00:10H","Y","Y","Y","Y","Y","1A","2A","22537","https://etrain.info/train/Kushinagar-Sf-Exp-22537/schedule","KUSHINAGAR SF EXP","3A","SL"
"19713","https://etrain.info/train/Jp-Krnt-Exp-19713/schedule","JP KRNT EXP","JP","KRNT","10:20","10:30","00:10H","X","X","X","X","X","1A","2A","","","","3A","3E"
"06598","https://etrain.info/train/Ynrk-Ypr-Exp-Spl-06598/schedule","YNRK YPR EXP SPL","YNRK","YPR","10:30","10:40","00:10H","X","X","X","X","X","1A","2A","","","","3A","SL"
"","","","TPJ","JU","13:35","13:45","00:10H","X","X","X","X","X","3A","SL","20482","https://etrain.info/train/Bgkt-Humsafar-20482/schedule","BGKT HUMSAFAR","",""
"","","","PDY","NDLS","13:35","13:45","00:10H","X","X","X","X","X","1A","2A","22403","https://etrain.info/train/Pdy-Ndls-Express-22403/schedule","PDY NDLS EXPRESS","3A","SL"
"","","","SC","GKP","13:45","13:55","00:10H","X","X","X","X","X","1A","2A","12590","https://etrain.info/train/Gorakhpur-Exp-12590/schedule","GORAKHPUR EXP","3A","SL"
"","","","HYB","JP","13:55","14:05","00:10H","Y","X","X","X","X","2A","3A","12720","https://etrain.info/train/Hyb-Jp-Sup-Exp-12720/schedule","HYB JP SUP EXP","SL",""
"07020","https://etrain.info/train/Hyb-Jp-Spl-07020/schedule","HYB JP SPL","HYB","JP","13:55","14:05","00:10H","X","X","X","X","X","1A","2A","","","","3A","SL"
"17020","https://etrain.info/train/Hyb-Hsr-Express-17020/schedule","HYB HSR EXPRESS","HYB","HSR","13:55","14:05","00:10H","X","X","X","X","X","1A","2A","","","","3A","SL"
"06597","https://etrain.info/train/Ypr-Ynrk-Spl-06597/schedule","YPR YNRK SPL","YPR","YNRK","14:00","14:10","00:10H","X","X","X","X","X","1A","2A","","","","3A","SL"
"","","","AMH","LTT","14:35","14:45","00:10H","Y","Y","Y","Y","Y","2A","3A","20104","https://etrain.info/train/Amh-Ltt-Sf-Exp-20104/schedule","AMH LTT SF EXP","SL",""
"","","","NZM","CAPE","15:55","16:05","00:10H","Y","X","X","X","X","2A","3A","12642","https://etrain.info/train/Thirukkural-Exp-12642/schedule","THIRUKKURAL EXP","SL",""
"","","","NZM","TPTY","15:55","16:05","00:10H","Y","Y","X","X","X","1A","2A","12708","https://etrain.info/train/Ap-Smprk-Kranti-12708/schedule","AP SMPRK KRANTI","3A","SL"
"","","","NZM","MDU","15:55","16:05","00:10H","Y","X","X","X","X","2A","3A","12652","https://etrain.info/train/T-N-Smprk-Krnti-12652/schedule","T N SMPRK KRNTI","SL",""
"","","","CPR","LTT","16:05","16:15","00:10H","X","X","X","X","X","","","22583","https://etrain.info/train/Jansadharan-Exp-22583/schedule","JANSADHARAN EXP","",""
"","","","CNB","BL","16:05","16:15","00:10H","X","X","X","X","X","2A","3A","12944","https://etrain.info/train/Udhyogkarmi-Exp-12944/schedule","UDHYOGKARMI EXP","SL",""
"","","","MBDP","LTT","16:05","16:15","00:10H","Y","X","X","X","X","2A","3A","12174","https://etrain.info/train/Udyog-Nagri-Exp-12174/schedule","UDYOG NAGRI EXP","SL",""
"","","","NZM","YPR","16:55","17:05","00:10H","Y","Y","Y","X","X","1A","2A","12650","https://etrain.info/train/Ktk-Smprk-K-Exp-12650/schedule","KTK SMPRK K EXP","3A","SL"
"","","","SLN","LTT","17:15","17:25","00:10H","X","X","X","X","X","2A","3A","12144","https://etrain.info/train/Sln-Ltt-Sf-Exp-12144/schedule","SLN LTT SF EXP","SL",""
"","","","DADN","SVDK","17:20","17:30","00:10H","Y","Y","Y","Y","Y","1A","2A","12919","https://etrain.info/train/Malwa-Express-12919/schedule","MALWA EXPRESS","3A","3E"
"","","","NGP","JP","17:30","17:40","00:10H","X","X","X","X","X","2A","3A","22175","https://etrain.info/train/Ngp-Jaipur-Sf-Exp-22175/schedule","NGP JAIPUR SF EXP","SL",""
"","","","NZM","VSKP","17:35","17:45","00:10H","Y","Y","Y","X","X","1A","2A","12808","https://etrain.info/train/Samta-Express-12808/schedule","SAMTA EXPRESS","3A","SL"
"","","","CBE","JP","17:50","18:00","00:10H","X","X","X","X","X","1A","2A","12969","https://etrain.info/train/Cbe-Jaipur-Exp-12969/schedule","CBE JAIPUR EXP","3A","3E"
"","","","PURI","JU","17:50","18:00","00:10H","X","X","X","X","X","1A","2A","20813","https://etrain.info/train/Puri-Ju-Express-20813/schedule","PURI JU EXPRESS","3A","SL"
"","","","MYS","JP","17:50","18:00","00:10H","Y","X","X","X","X","1A","2A","12975","https://etrain.info/train/Jaipur-Express-12975/schedule","JAIPUR EXPRESS","3A","3E"
"19714","https://etrain.info/train/Krnt-Jp-Exp-19714/schedule","KRNT JP EXP","KRNT","JP","17:50","18:00","00:10H","X","X","X","X","X","1A","2A","","","","3A","3E"
"","","","MAS","JP","17:50","18:00","00:10H","Y","X","X","X","X","1A","2A","12967","https://etrain.info/train/Jaipur-Exp-12967/schedule","JAIPUR EXP","3A","3E"
"19343","https://etrain.info/train/Panchvalley-Exp-19343/schedule","PANCHVALLEY EXP","INDB","NIR","18:00","18:10","00:10H","Y","Y","Y","Y","Y","3A","SL","","","","",""
"","","","LTT","AMH","18:15","18:25","00:10H","Y","Y","Y","Y","Y","2A","3A","20103","https://etrain.info/train/Ltt-Amh-Sf-Exp-20103/schedule","LTT AMH SF EXP","SL",""
"","","","NZM","YPR","18:20","18:30","00:10H","Y","X","X","X","X","1A","2A","12630","https://etrain.info/train/Ypr-S-Krnti-Exp-12630/schedule","YPR S KRNTI EXP","3A","SL"
"","","","CDG","YPR","18:20","18:30","00:10H","Y","X","X","X","X","1A","2A","22686","https://etrain.info/train/Karntk-S-Kranti-22686/schedule","KARNTK S KRANTI","3A","SL"
"","","","INDB","PURI","18:30","18:40","00:10H","X","X","X","X","X","3A","SL","20917","https://etrain.info/train/Puri-Humsafar-Ex-20917/schedule","PURI HUMSAFAR EX","",""
"","","","VSG","NZM","19:10","19:20","00:10H","Y","Y","Y","Y","Y","1A","2A","12779","https://etrain.info/train/Goa-Express-12779/schedule","GOA EXPRESS","3A","3E"
"","","","BSL","NZM","19:25","19:35","00:10H","Y","X","X","X","X","2A","3A","12405","https://etrain.info/train/Gondwana-Expres-12405/schedule","GONDWANA EXPRES","SL",""
"","","","RIG","NZM","19:25","19:35","00:10H","Y","Y","Y","X","X","1A","2A","12409","https://etrain.info/train/Gondwana-Expres-12409/schedule","GONDWANA EXPRES","3A","SL"
"11464","https://etrain.info/train/Jbp-Somnath-Exp-11464/schedule","JBP SOMNATH EXP","JBP","VRL","20:00","20:10","00:10H","Y","Y","Y","X","X","1A","2A","","","","3A","3E"
"","","","MAS","NDLS","20:10","20:20","00:10H","Y","Y","Y","Y","Y","1A","2A","12621","https://etrain.info/train/Tamil-Nadu-Exp-12621/schedule","TAMIL NADU EXP","3A","3E"
"","","","LTT","HW","20:20","20:30","00:10H","Y","X","X","X","X","1A","2A","12171","https://etrain.info/train/Ltt-Hw-Ac-Sup-12171/schedule","LTT HW AC SUP","3A",""
"","","","VSKP","NDLS","20:20","20:30","00:10H","Y","Y","Y","Y","Y","1A","2A","20805","https://etrain.info/train/Vskp-Ndls-Ap-Exp-20805/schedule","VSKP NDLS AP EXP","3A","SL"
"","","","SNSI","KLK","20:20","20:30","00:10H","Y","X","X","X","X","2A","3A","22455","https://etrain.info/train/Snsi-Klk-Sup-Exp-22455/schedule","SNSI KLK SUP EXP","SL",""
"07053","https://etrain.info/train/Kcg-Bkn-Spl-07053/schedule","KCG BKN SPL","KCG","BKN","20:30","20:40","00:10H","X","X","X","X","X","2A","3A","","","","SL",""
"","","","SBC","NZM","20:50","21:00","00:10H","Y","Y","Y","Y","Y","1A","2A","","","","3A",""
"","","","INDB","TVCN","21:05","21:15","00:10H","X","X","X","X","X","2A","3E","22645","https://etrain.info/train/Ahilyanagari-Ex-22645/schedule","AHILYANAGARI EX","SL",""
"","","","ASR","NGP","21:10","21:20","00:10H","X","X","X","X","X","1A","2A","22126","https://etrain.info/train/Asr-Ngp-Ac-Exp-22126/schedule","ASR NGP AC EXP","3A",""
"","","","CSMT","LJN","21:15","21:25","00:10H","Y","Y","Y","Y","Y","1A","2A","12534","https://etrain.info/train/Pushpak-Express-12534/schedule","PUSHPAK EXPRESS","3E","SL"
"","","","MQ","JU","21:30","21:40","00:10H","X","X","X","X","X","2A","3A","22674","https://etrain.info/train/Mq-Bgkt-Exp-22674/schedule","MQ BGKT EXP","SL",""
"","","","MDU","BKN","21:30","21:40","00:10H","X","X","X","X","X","1A","2A","22631","https://etrain.info/train/Anuvrat-Express-22631/schedule","ANUVRAT EXPRESS","3A",""
"14313","https://etrain.info/train/Bareilly-Exp-14313/schedule","BAREILLY EXP","LTT","BE","21:30","21:40","00:10H","X","X","X","X","X","2A","3A","","","","SL",""
"","","","HYB","NDLS","21:45","21:55","00:10H","Y","Y","Y","Y","Y","1A","2A","12723","https://etrain.info/train/Telangana-Exp-12723/schedule","TELANGANA  EXP","3A","SL"
"18233","https://etrain.info/train/Narmada-Express-18233/schedule","NARMADA EXPRESS","INDB","BSP","21:55","22:05","00:10H","Y","Y","Y","Y","Y","1A","2A","","","","3A","SL"
"","","","JBP","BDTS","22:25","22:35","00:10H","X","X","X","X","X","1A","2A","02134","https://etrain.info/train/Bdts-Festivl-Spl-02134/schedule","BDTS FESTIVL SPL","3A","SL"
"11086","https://etrain.info/train/Gwl-Smvb-Express-11086/schedule","GWL SMVB EXPRESS","GWL","SMVB","23:05","23:15","00:10H","X","X","X","X","X","2A","3A","","","","3E","SL"
"","","","YPR","NZM","23:10","23:20","00:10H","Y","Y","Y","X","X","1A","2A","12649","https://etrain.info/train/Sampark-Kranti-12649/schedule","SAMPARK KRANTI","3A","SL"
"","","","INDB","JBP","23:25","23:35","00:10H","Y","Y","Y","Y","Y","1A","2A","22191","https://etrain.info/train/Indb-Jbp-Exp-22191/schedule","INDB JBP EXP","3A","3E"
"","","","NZM","SC","23:30","23:40","00:10H","X","X","X","X","X","1A","2A","","","","3A",""
"","","","NZM","MAS","23:30","23:40","00:10H","X","X","X","X","X","3A","","","","","",""
"","","","NDLS","BSP","23:30","23:40","00:10H","Y","X","X","X","X","1A","2A","","","","3A",""
"","","","NZM","MAS","23:30","23:40","00:10H","Y","X","X","X","X","1A","2A","","","","3A",""
"","","","TVCN","INDB","23:35","23:45","00:10H","X","X","X","X","X","2A","3E","22646","https://etrain.info/train/Ahilyanagari-Ex-22646/schedule","AHILYANAGARI EX","SL",""
"11465","https://etrain.info/train/Smnh-Jbp-Expres-11465/schedule","SMNH JBP EXPRES","SMNH","JBP","06:45","07:00","00:15H","Y","X","X","X","X","1A","2A","","","","3A","3E"
"07054","https://etrain.info/train/Bkn-Kcg-Spl-07054/schedule","BKN KCG SPL","BKN","KCG","08:55","09:10","00:15H","X","X","X","X","X","2A","3A","","","","SL",""
"11466","https://etrain.info/train/Jbp-Somnath-Exp-11466/schedule","JBP SOMNATH EXP","JBP","VRL","19:55","20:10","00:15H","Y","X","X","X","X","1A","2A","","","","3A","3E"
"","","","SVDK","DADN","07:25","07:45","00:20H","Y","Y","Y","Y","Y","1A","2A","12920","https://etrain.info/train/Malwa-Express-12920/schedule","MALWA EXPRESS","3A","3E"
