"exp","exp href","exp 2","wd51","wd51 2","wd51 3","wd51 4","wd55","wd22 2","wd22 3","wd22 4","wd22 6","wd22 7","inputimg","inputimg 2","sf","sf href","sf 2","inputimg 3","inputimg 4"
"19304","https://etrain.info/train/Bpl-Indb-Express-19304/schedule","BPL INDB EXPRESS","BPL","INDB","--","23:10","--","Y","Y","Y","Y","Y","3A","SL","","","","",""
"","","","BPL","LJN","--","23:55","--","X","X","X","X","X","3A","","","","","",""
"01662","https://etrain.info/train/Gaya-Rkmp-Spl-01662/schedule","GAYA RKMP SPL","GAYA","RKMP","10:28","10:30","00:02H","Y","Y","X","X","X","2A","3A","","","","SL",""
"01661","https://etrain.info/train/Rkmp-Gaya-Spl-01661/schedule","RKMP GAYA SPL","RKMP","GAYA","13:43","13:45","00:02H","Y","Y","X","X","X","2A","3A","","","","SL",""
"","","","NDLS","RKMP","14:12","14:15","00:03H","Y","Y","Y","Y","Y","EC","CC","","","","",""
"","","","RKMP","NDLS","15:22","15:25","00:03H","Y","Y","Y","Y","Y","EC","CC","","","","",""
"11408","https://etrain.info/train/Ljn-Pune-Exp-11408/schedule","LJN PUNE EXP","LJN","PUNE","17:21","17:25","00:04H","X","X","X","X","X","2A","3A","","","","SL",""
"11078","https://etrain.info/train/Jhelum-Express-11078/schedule","JHELUM EXPRESS","JAT","PUNE","00:00","00:05","00:05H","Y","Y","Y","Y","Y","2A","3A","","","","SL",""
"","","","PURI","BL","00:10","00:15","00:05H","X","X","X","X","X","2A","3A","22910","https://etrain.info/train/Puri-Valsad-Exp-22910/schedule","PURI VALSAD EXP","SL",""
"","","","NZM","CSMT","00:35","00:40","00:05H","Y","Y","Y","Y","Y","1A","2A","","","","3A",""
"","","","NZM","BSL","01:05","01:10","00:05H","Y","X","X","X","X","2A","3A","12406","https://etrain.info/train/Gondwana-Express-12406/schedule","GONDWANA EXPRESS","SL",""
"","","","NZM","RIG","01:05","01:10","00:05H","Y","Y","Y","X","X","1A","2A","12410","https://etrain.info/train/Gondwana-Expres-12410/schedule","GONDWANA EXPRES","3A","SL"
"19302","https://etrain.info/train/Ypr-Dadn-Exp-19302/schedule","YPR DADN EXP","YPR","DADN","01:10","01:15","00:05H","X","X","X","X","X","2A","3A","","","","3E","SL"
"19301","https://etrain.info/train/Yeshvantpur-Exp-19301/schedule","YESHVANTPUR EXP","DADN","YPR","01:35","01:40","00:05H","X","X","X","X","X","2A","3A","","","","3E","SL"
"","","","NZM","JBP","01:55","02:00","00:05H","Y","Y","Y","Y","Y","1A","2A","12191","https://etrain.info/train/Nzm-Jbp-Sup-Exp-12191/schedule","NZM JBP SUP EXP","3A","SL"
"","","","CSMT","NZM","01:55","02:00","00:05H","Y","Y","Y","Y","Y","1A","2A","","","","3A",""
"","","","NED","ASR","02:35","02:40","00:05H","Y","Y","Y","Y","Y","1A","2A","12715","https://etrain.info/train/Sachkhand-Exp-12715/schedule","SACHKHAND EXP","3A","SL"
"","","","ERS","NZM","02:50","02:55","00:05H","Y","Y","Y","Y","Y","2A","3A","12617","https://etrain.info/train/Mangladweep-Exp-12617/schedule","MANGLADWEEP EXP","SL",""
"16788","https://etrain.info/train/Svdk-Ten-Exp-16788/schedule","SVDK TEN EXP","SVDK","TEN","03:00","03:05","00:05H","X","X","X","X","X","2A","3A","","","","3E","SL"
"","","","CSMT","GKP","03:05","03:10","00:05H","X","X","X","X","X","","","12598","https://etrain.info/train/Cstm-Gkp-Jansadharan-12598/schedule","CSTM GKP JANSADHARAN","",""
"","","","NDLS","MAS","03:15","03:20","00:05H","Y","Y","Y","Y","Y","1A","2A","12616","https://etrain.info/train/Grand-Trunk-Exp-12616/schedule","GRAND TRUNK EXP","3A","SL"
"","","","YPR","GKP","03:30","03:35","00:05H","X","X","X","X","X","1A","2A","22534","https://etrain.info/train/Ypr-Gorakpur-Exp-22534/schedule","YPR GORAKPUR EXP","3A","SL"
"","","","CBE","NZM","03:30","03:35","00:05H","X","X","X","X","X","2A","3A","12647","https://etrain.info/train/Kongu-Express-12647/schedule","KONGU EXPRESS","SL",""
"","","","PUNE","LJN","03:30","03:35","00:05H","X","X","X","X","X","2A","3A","12103","https://etrain.info/train/Pune-Lucknow-Exp-12103/schedule","PUNE LUCKNOW EXP","SL",""
"15024","https://etrain.info/train/Ypr-Gkp-Exp-15024/schedule","YPR GKP EXP","YPR","GKP","03:30","03:35","00:05H","X","X","X","X","X","1A","2A","","","","3A","SL"
"15030","https://etrain.info/train/Pune-Gkp-Express-15030/schedule","PUNE GKP EXPRESS","PUNE","GKP","03:30","03:35","00:05H","X","X","X","X","X","1A","2A","","","","3A","SL"
"01703","https://etrain.info/train/Dadn-Rewa-Spl-01703/schedule","DADN REWA SPL","DADN","REWA","03:35","03:40","00:05H","X","X","X","X","X","2A","3A","","","","3E","SL"
"18234","https://etrain.info/train/Narmada-Express-18234/schedule","NARMADA EXPRESS","BSP","INDB","03:45","03:50","00:05H","Y","Y","Y","Y","Y","1A","2A","","","","3A","SL"
"11071","https://etrain.info/train/Kamayani-Express-11071/schedule","KAMAYANI EXPRESS","LTT","BUI","04:05","04:10","00:05H","Y","Y","Y","Y","Y","2A","3A","","","","SL",""
"","","","REWA","RKMP","04:55","05:00","00:05H","Y","Y","Y","Y","Y","1A","2A","12186","https://etrain.info/train/Rewanchal-Exp-12186/schedule","REWANCHAL EXP","3A","3E"
"","","","JBP","INDB","05:10","05:15","00:05H","Y","Y","Y","Y","Y","1A","2A","22192","https://etrain.info/train/Jbp-Indb-Exp-22192/schedule","JBP INDB EXP","3A","3E"
"","","","NDLS","TVC","05:20","05:25","00:05H","Y","Y","Y","Y","Y","2A","3A","12626","https://etrain.info/train/Kerala-Express-12626/schedule","KERALA EXPRESS","3E","SL"
"","","","NZM","RKMP","05:40","05:45","00:05H","Y","Y","Y","Y","Y","1A","2A","12156","https://etrain.info/train/Bhopal-Express-12156/schedule","BHOPAL EXPRESS","3A","3E"
"18237","https://etrain.info/train/Chhattisgarh-Exp-18237/schedule","CHHATTISGARH EXP","KRBA","ASR","06:10","06:15","00:05H","Y","Y","Y","Y","Y","1A","2A","","","","3A","3E"
"","","","NDLS","SBC","06:25","06:30","00:05H","Y","Y","Y","Y","Y","1A","2A","12628","https://etrain.info/train/Karnataka-Exp-12628/schedule","KARNATAKA EXP","3A","SL"
"","","","ERS","NZM","06:45","06:50","00:05H","X","X","X","X","X","2A","3A","12645","https://etrain.info/train/Nizamuddin-Exp-12645/schedule","NIZAMUDDIN EXP","SL",""
"","","","VSKP","NZM","06:45","06:50","00:05H","Y","X","X","X","X","1A","2A","12803","https://etrain.info/train/Swarnajayanti-Ex-12803/schedule","SWARNAJAYANTI EX","3A","SL"
"","","","NDLS","MAS","06:45","06:50","00:05H","Y","Y","Y","Y","Y","1A","2A","12622","https://etrain.info/train/Tamil-Nadu-Exp-12622/schedule","TAMIL NADU EXP","3A","3E"
"","","","LTT","CPR","06:45","06:50","00:05H","X","X","X","X","X","","","22584","https://etrain.info/train/Jansadharan-Exp-22584/schedule","JANSADHARAN EXP","",""
"","","","TVC","NZM","06:45","06:50","00:05H","X","X","X","X","X","2A","3E","12643","https://etrain.info/train/Nizamuddin-Exp-12643/schedule","NIZAMUDDIN EXP","SL",""
"11463","https://etrain.info/train/Smnh-Jbp-Expres-11463/schedule","SMNH JBP EXPRES","SMNH","JBP","06:55","07:00","00:05H","Y","Y","Y","X","X","1A","2A","","","","3A","3E"
"","","","VSKP","NZM","07:05","07:10","00:05H","Y","Y","Y","X","X","1A","2A","12807","https://etrain.info/train/Samta-Express-12807/schedule","SAMTA EXPRESS","3A","SL"
"","","","JP","MYS","07:15","07:20","00:05H","Y","X","X","X","X","1A","2A","12976","https://etrain.info/train/Jp-Mysore-Exp-12976/schedule","JP MYSORE EXP","3A","3E"
"11072","https://etrain.info/train/Kamayani-Expres-11072/schedule","KAMAYANI EXPRES","BUI","LTT","07:25","07:30","00:05H","Y","Y","Y","Y","Y","2A","3A","","","","SL",""
"","","","JU","TPJ","08:45","08:50","00:05H","X","X","X","X","X","3A","SL","20481","https://etrain.info/train/Tpj-Sf-Humsafar-20481/schedule","TPJ SF HUMSAFAR","",""
"15029","https://etrain.info/train/Gkp-Pune-Exp-15029/schedule","GKP PUNE EXP","GKP","PUNE","08:45","08:50","00:05H","X","X","X","X","X","1A","2A","","","","3A","SL"
