Train_No,Train_Name,From_Station,To_Station,Scheduled_Arrival,Scheduled_Departure
12782,SWARNA JAYANTHI,NZM,MYS,15:25,15:30
12618,MNGLA LKSDP,NZM,ERS,16:20,16:25
12138,PUNJAB MAIL,FZR,CSMT,16:35,16:40
20423,PATALKOT SF EXP,SEY,FZR,16:35,16:40
12648,KONGU EXPRESS,NZM,CBE,17:00,17:05
12721,DAKSHIN EXP,HYB,NZM,17:10,17:15
18238,CHHATISGARH EXP,ASR,BSP,17:55,18:00
12615,GRAND TRUNK EXP,MAS,NDLS,18:40,18:45
22129,TULSI EXPRESS,LTT,AYC,19:45,19:50
20846,BKN BSP EXP,BKN,BSP,19:45,19:50
20844,BGKT BSP EXP,BGKT,BSP,19:45,19:50
20844,BGKT BSP EXP,NGP,INDB,20:30,20:35
12521,RAPTI SAGAR EXP,BJU,ERS,20:55,21:00
12511,RAPTI SAGAR EXP,GKP,TVCN,20:55,21:00
12589,GKP SC EXPRESS,GKP,SC,20:55,21:00
22533,GKP YPR EXPRESS,GKP,YPR,20:55,21:00
12591,GKP YPR EXPRESS,GKP,YPR,20:55,21:00
20424,PATALKOT EXP,FZR,SEY,21:50,21:55
12185,REWANCHAL EXP,RKMP,REWA,22:10,22:15
12716,SACHKHAND EXP,ASR,NED,22:40,22:45
12155,BHOPAL EXPRESS,RKMP,NZM,22:53,22:58
7076,GKP HYB SPL,GKP,HYB,23:00,23:05
12627,KARNATAKA EXP,SBC,NDLS,23:00,23:05
12597,GKP CSTM JANSADHARAN,GKP,CSMT,23:00,23:05
12522,RAPTISAGAR EXP,ERS,BJU,23:40,23:45
12592,GORAKHPUR EXP,YPR,GKP,23:40,23:45
12512,RAPTISAGAR EXP,TVCN,GKP,23:40,23:45
12192,JBP NZM SF EXP,JBP,NZM,23:53,23:58
22685,YPR  SKRANTIEXP,YPR,CDG,00:02,00:10
12629,SAMPARK KRANTI,YPR,NZM,00:02,00:10
12753,MARATHWADA SMPK,NED,NZM,00:00,00:10
11085,SMVB GWL EXP,SMVB,GWL,00:00,00:10
22125,NGP ASR AC EXP,NGP,ASR,00:02,00:12
12485,NED SGNR EXPRES,NED,SGNR,00:20,00:30
12421,NED ASR SUP EXP,NED,ASR,00:20,00:30
22709,NED AADR SF EXP,NED,AADR,00:20,00:30
12439,NED SGNR EXP,NED,SGNR,00:20,00:30
12724,TELANGANA EXP,NDLS,HYB,01:20,01:30
20918,INDB HUMSAFAR EX,PURI,INDB,01:30,01:40
20918,INDB HUMSAFAR EX,MAS,NZM,02:05,02:15
20918,INDB HUMSAFAR EX,BSP,NDLS,02:05,02:15
20918,INDB HUMSAFAR EX,MAS,NZM,02:05,02:15
20918,INDB HUMSAFAR EX,SC,NZM,02:05,02:15
20494,CDG MDU SF EXP,CDG,MDU,02:10,02:20
16318,HIMSAGAR EXP,SVDK,CAPE,02:10,02:20
16032,ANDAMAN EXPRESS,SVDK,MAS,02:10,02:20
12780,GOA EXPRESS,NZM,VSG,02:35,02:45
12104,LJN PUNE EXP,LJN,PUNE,02:55,03:05
16094,LJN  MAS EXP,LJN,MAS,02:55,03:05
15023,GKP YPR EXP,GKP,YPR,02:55,03:05
14314,BE LTT EXPRESS,BE,LTT,02:55,03:05
4718,TPTY HSR SPL,TPTY,HSR,03:15,03:25
12625,KERALA EXPRESS,TVC,NDLS,03:45,03:55
12625,KERALA EXPRESS,NZM,SBC,03:45,03:55
20806,NDLS VSKP AP EXP,NDLS,VSKP,04:35,04:45
12143,LTT SLN SUP EXP,LTT,SLN,05:15,05:25
12107,LTT SITAPUR EXP,LTT,STP,05:35,05:45
12173,UDYOG NAGRI EXP,LTT,MBDP,05:35,05:45
22130,TULSI EXPRESS,AYC,LTT,05:55,06:05
12719,JP HYB SF EXP,JP,HYB,06:10,06:20
7019,JP HYB SPL,JP,HYB,06:10,06:20
17019,HSR HYB EXPRESS,HSR,HYB,06:10,06:20
12781,SWARNA JAYANTHI,MYS,NZM,06:25,06:35
14621,NED FZR EXPRESS,NED,FZR,06:25,06:35
12147,NIZAMUDDIN EXP,KOP,NZM,06:25,06:35
12533,PUSHPAK EXPRESS,LJN,CSMT,07:00,07:10
20814,JU PURI EXPRESS,JU,PURI,07:10,07:20
12968,JP CHENNAI EXP,JP,MAS,07:10,07:20
12970,JP CBE SUP EXP,JP,CBE,07:10,07:20
22909,BL PURI SF EXP,BL,PURI,07:10,07:20
12172,HW LTT AC SF,HW,LTT,07:40,07:50
22456,KLK SNSI SF EXP,KLK,SNSI,07:40,07:50
12754,MARATHWADA S K,NZM,NED,07:40,07:50
19344,PANCHVALLEY EXP,NIR,INDB,07:50,08:00
14622,FZR NED EXP,FZR,NED,08:05,08:15
12108,STP LTT SF EXP,STP,LTT,08:05,08:15
12707,A P SMPRK KRNTI,TPTY,NZM,08:15,08:25
12641,TIRUKKURAL EXP,CAPE,NZM,08:15,08:25
12651,SAMPARK KRANTI,MDU,NZM,08:15,08:25
20845,BSP BKN SF EXP,BSP,BKN,08:25,08:35
20843,BSP BGKT SF EXP,BSP,BGKT,08:25,08:35
22404,NDLS PDY EXP,NDLS,PDY,08:25,08:35
22710,AADR NED SF EXP,AADR,NED,08:25,08:35
12422,ASR NED SF EXP,ASR,NED,08:25,08:35
12440,SGNR NED EXP,SGNR,NED,08:25,08:35
12486,SGNR NED EXPRESS,SGNR,NED,08:25,08:35
22632,ANUVRAT EXP,BKN,MDU,08:50,09:00
2133,BDTS JBP SF SPL,BDTS,JBP,09:00,09:10
4717,HSR TPTY SF SPL,HSR,TPTY,09:00,09:10
20498,FZR RMM HUMSAFAR,FZR,RMM,09:20,09:30
22176,JAIPUR NGP SF EXP,JP,NGP,09:25,09:35
20497,FZR HUMSAFAR,RMM,FZR,09:25,09:35
16093,LUCKNOW EXP,MAS,LJN,09:30,09:40
20493,MDU CDG EXP,MDU,CDG,09:30,09:40
22537,KUSHINAGAR SF EXP,GKP,LTT,09:50,10:00
19713,JP KRNT EXP,JP,KRNT,10:20,10:30
6598,YNRK YPR EXP SPL,YNRK,YPR,10:30,10:40
20482,BGKT HUMSAFAR,TPJ,JU,13:35,13:45
22403,PDY NDLS EXPRESS,PDY,NDLS,13:35,13:45
12590,GORAKHPUR EXP,SC,GKP,13:45,13:55
12720,HYB JP SUP EXP,HYB,JP,13:55,14:05
7020,HYB JP SPL,HYB,JP,13:55,14:05
17020,HYB HSR EXPRESS,HYB,HSR,13:55,14:05
6597,YPR YNRK SPL,YPR,YNRK,14:00,14:10
20104,AMH LTT SF EXP,AMH,LTT,14:35,14:45
12642,THIRUKKURAL EXP,NZM,CAPE,15:55,16:05
12708,AP SMPRK KRANTI,NZM,TPTY,15:55,16:05
12652,T N SMPRK KRNTI,NZM,MDU,15:55,16:05
22583,JANSADHARAN EXP,CPR,LTT,16:05,16:15
12944,UDHYOGKARMI EXP,CNB,BL,16:05,16:15
12174,UDYOG NAGRI EXP,MBDP,LTT,16:05,16:15
12650,KTK SMPRK K EXP,NZM,YPR,16:55,17:05
12144,SLN LTT SF EXP,SLN,LTT,17:15,17:25
12919,MALWA EXPRESS,DADN,SVDK,17:20,17:30
22175,NGP JAIPUR SF EXP,NGP,JP,17:30,17:40
12808,SAMTA EXPRESS,NZM,VSKP,17:35,17:45
12969,CBE JAIPUR EXP,CBE,JP,17:50,18:00
20813,PURI JU EXPRESS,PURI,JU,17:50,18:00
12975,JAIPUR EXPRESS,MYS,JP,17:50,18:00
19714,KRNT JP EXP,KRNT,JP,17:50,18:00
12967,JAIPUR EXP,MAS,JP,17:50,18:00
19343,PANCHVALLEY EXP,INDB,NIR,18:00,18:10
20103,LTT AMH SF EXP,LTT,AMH,18:15,18:25
12630,YPR S KRNTI EXP,NZM,YPR,18:20,18:30
22686,KARNTK S KRANTI,CDG,YPR,18:20,18:30
20917,PURI HUMSAFAR EX,INDB,PURI,18:30,18:40
12779,GOA EXPRESS,VSG,NZM,19:10,19:20
12405,GONDWANA EXPRES,BSL,NZM,19:25,19:35
12409,GONDWANA EXPRES,RIG,NZM,19:25,19:35
11464,JBP SOMNATH EXP,JBP,VRL,20:00,20:10
12621,TAMIL NADU EXP,MAS,NDLS,20:10,20:20
12171,LTT HW AC SUP,LTT,HW,20:20,20:30
20805,VSKP NDLS AP EXP,VSKP,NDLS,20:20,20:30
22455,SNSI KLK SUP EXP,SNSI,KLK,20:20,20:30
7053,KCG BKN SPL,KCG,BKN,20:30,20:40
7053,KCG BKN SPL,SBC,NZM,20:50,21:00
22645,AHILYANAGARI EX,INDB,TVCN,21:05,21:15
22126,ASR NGP AC EXP,ASR,NGP,21:10,21:20
12534,PUSHPAK EXPRESS,CSMT,LJN,21:15,21:25
22674,MQ BGKT EXP,MQ,JU,21:30,21:40
22631,ANUVRAT EXPRESS,MDU,BKN,21:30,21:40
14313,BAREILLY EXP,LTT,BE,21:30,21:40
12723,TELANGANA  EXP,HYB,NDLS,21:45,21:55
18233,NARMADA EXPRESS,INDB,BSP,21:55,22:05
2134,BDTS FESTIVL SPL,JBP,BDTS,22:25,22:35
11086,GWL SMVB EXPRESS,GWL,SMVB,23:05,23:15
12649,SAMPARK KRANTI,YPR,NZM,23:10,23:20
22191,INDB JBP EXP,INDB,JBP,23:25,23:35
22191,INDB JBP EXP,NZM,SC,23:30,23:40
22191,INDB JBP EXP,NZM,MAS,23:30,23:40
22191,INDB JBP EXP,NDLS,BSP,23:30,23:40
22191,INDB JBP EXP,NZM,MAS,23:30,23:40
22646,AHILYANAGARI EX,TVCN,INDB,23:35,23:45
11465,SMNH JBP EXPRES,SMNH,JBP,06:45,07:00
7054,BKN KCG SPL,BKN,KCG,08:55,09:10
11466,JBP SOMNATH EXP,JBP,VRL,19:55,20:10
12920,MALWA EXPRESS,SVDK,DADN,07:25,07:45
