Train_No,Train_Name,Priority,From_Station,To_Station,Scheduled_Arrival,Scheduled_Departure
7024,CHZ SUMMER SPL,4,NZM,CHZ,14:25,14:30
22538,KUSHINAGAR SF EXP,2,LTT,GKP,14:45,14:50
12804,VSKP SWRN J EXP,2,NZM,VSKP,15:25,15:30
12644,SWARNA JAYANTI,2,NZM,TVC,15:25,15:30
12646,ERS MILLENUM EX,2,NZM,ERS,15:25,15:30
12148,NZM KOP EXP,2,NZM,KOP,15:25,15:30
11057,CSMT ASR EXP,3,CSMT,ASR,15:25,15:30
12782,SWARNA JAYANTHI,2,NZM,MYS,15:25,15:30
12618,MNGLA LKSDP,2,NZM,ERS,16:20,16:25
12138,PUNJAB MAIL,2,FZR,CSMT,16:35,16:40
20423,PATALKOT SF EXP,2,SEY,FZR,16:35,16:40
12648,KONGU EXPRESS,2,NZM,CBE,17:00,17:05
12721,DAKSHIN EXP,2,HYB,NZM,17:10,17:15
18238,CHHATISGARH EXP,3,ASR,BSP,17:55,18:00
12615,GRAND TRUNK EXP,2,MAS,NDLS,18:40,18:45
22129,TULSI EXPRESS,2,LTT,AYC,19:45,19:50
20846,BKN BSP EXP,2,BKN,BSP,19:45,19:50
20844,BGKT BSP EXP,2,BGKT,BSP,19:45,19:50
20844,BGKT BSP EXP,2,NGP,INDB,20:30,20:35
12521,RAPTI SAGAR EXP,2,BJU,ERS,20:55,21:00
12511,RAPTI SAGAR EXP,2,GKP,TVCN,20:55,21:00
12589,GKP SC EXPRESS,2,GKP,SC,20:55,21:00
22533,GKP YPR EXPRESS,2,GKP,YPR,20:55,21:00
12591,GKP YPR EXPRESS,2,GKP,YPR,20:55,21:00
20424,PATALKOT EXP,2,FZR,SEY,21:50,21:55
12185,REWANCHAL EXP,2,RKMP,REWA,22:10,22:15
12716,SACHKHAND EXP,2,ASR,NED,22:40,22:45
12155,BHOPAL EXPRESS,2,RKMP,NZM,22:53,22:58
7076,GKP HYB SPL,4,GKP,HYB,23:00,23:05
12627,KARNATAKA EXP,2,SBC,NDLS,23:00,23:05
12597,GKP CSTM JANSADHARAN,2,GKP,CSMT,23:00,23:05
12522,RAPTISAGAR EXP,2,ERS,BJU,23:40,23:45
12592,GORAKHPUR EXP,2,YPR,GKP,23:40,23:45
12512,RAPTISAGAR EXP,2,TVCN,GKP,23:40,23:45
12192,JBP NZM SF EXP,2,JBP,NZM,23:53,23:58
22685,YPR  SKRANTIEXP,2,YPR,CDG,00:02,00:10
12629,SAMPARK KRANTI,2,YPR,NZM,00:02,00:10
12753,MARATHWADA SMPK,2,NED,NZM,00:00,00:10
11085,SMVB GWL EXP,3,SMVB,GWL,00:00,00:10
22125,NGP ASR AC EXP,2,NGP,ASR,00:02,00:12
12485,NED SGNR EXPRES,2,NED,SGNR,00:20,00:30
12421,NED ASR SUP EXP,2,NED,ASR,00:20,00:30
22709,NED AADR SF EXP,2,NED,AADR,00:20,00:30
12439,NED SGNR EXP,2,NED,SGNR,00:20,00:30
12724,TELANGANA EXP,2,NDLS,HYB,01:20,01:30
20918,INDB HUMSAFAR EX,2,PURI,INDB,01:30,01:40
20918,INDB HUMSAFAR EX,2,MAS,NZM,02:05,02:15
20918,INDB HUMSAFAR EX,2,BSP,NDLS,02:05,02:15
20918,INDB HUMSAFAR EX,2,MAS,NZM,02:05,02:15
20918,INDB HUMSAFAR EX,2,SC,NZM,02:05,02:15
20494,CDG MDU SF EXP,2,CDG,MDU,02:10,02:20
16318,HIMSAGAR EXP,3,SVDK,CAPE,02:10,02:20
16032,ANDAMAN EXPRESS,3,SVDK,MAS,02:10,02:20
12780,GOA EXPRESS,2,NZM,VSG,02:35,02:45
12104,LJN PUNE EXP,2,LJN,PUNE,02:55,03:05
16094,LJN  MAS EXP,3,LJN,MAS,02:55,03:05
15023,GKP YPR EXP,3,GKP,YPR,02:55,03:05
14314,BE LTT EXPRESS,3,BE,LTT,02:55,03:05
4718,TPTY HSR SPL,4,TPTY,HSR,03:15,03:25
12625,KERALA EXPRESS,2,TVC,NDLS,03:45,03:55
12625,KERALA EXPRESS,2,NZM,SBC,03:45,03:55
20806,NDLS VSKP AP EXP,2,NDLS,VSKP,04:35,04:45
12143,LTT SLN SUP EXP,2,LTT,SLN,05:15,05:25
12107,LTT SITAPUR EXP,2,LTT,STP,05:35,05:45
12173,UDYOG NAGRI EXP,2,LTT,MBDP,05:35,05:45
22130,TULSI EXPRESS,2,AYC,LTT,05:55,06:05
12719,JP HYB SF EXP,2,JP,HYB,06:10,06:20
7019,JP HYB SPL,4,JP,HYB,06:10,06:20
17019,HSR HYB EXPRESS,3,HSR,HYB,06:10,06:20
12781,SWARNA JAYANTHI,2,MYS,NZM,06:25,06:35
14621,NED FZR EXPRESS,3,NED,FZR,06:25,06:35
12147,NIZAMUDDIN EXP,2,KOP,NZM,06:25,06:35
12533,PUSHPAK EXPRESS,2,LJN,CSMT,07:00,07:10
20814,JU PURI EXPRESS,2,JU,PURI,07:10,07:20
12968,JP CHENNAI EXP,2,JP,MAS,07:10,07:20
12970,JP CBE SUP EXP,2,JP,CBE,07:10,07:20
22909,BL PURI SF EXP,2,BL,PURI,07:10,07:20
12172,HW LTT AC SF,2,HW,LTT,07:40,07:50
22456,KLK SNSI SF EXP,2,KLK,SNSI,07:40,07:50
12754,MARATHWADA S K,2,NZM,NED,07:40,07:50
19344,PANCHVALLEY EXP,3,NIR,INDB,07:50,08:00
14622,FZR NED EXP,3,FZR,NED,08:05,08:15
12108,STP LTT SF EXP,2,STP,LTT,08:05,08:15
12707,A P SMPRK KRNTI,2,TPTY,NZM,08:15,08:25
12641,TIRUKKURAL EXP,2,CAPE,NZM,08:15,08:25
12651,SAMPARK KRANTI,2,MDU,NZM,08:15,08:25
20845,BSP BKN SF EXP,2,BSP,BKN,08:25,08:35
20843,BSP BGKT SF EXP,2,BSP,BGKT,08:25,08:35
22404,NDLS PDY EXP,2,NDLS,PDY,08:25,08:35
